0,10
10,10
10,-10
30,-10
30,-50
40,-50
40,-20
50,-20
50,-10
40,-10
40,0
20,0
20,20
40,20
40,50
50,50
50,60
30,60
30,70
40,70
40,80
50,80
50,90
70,90
70,80
90,80
90,90
100,90
100,100
90,100
90,120
100,120
100,130
110,130
110,140
130,140
130,150
140,150
140,170
130,170
130,180
140,180
140,190
150,190
150,220
140,220
140,230
110,230
110,240
120,240
120,250
110,250
110,270
90,270
90,280
70,280
70,290
60,290
60,300
90,300
90,310
70,310
70,320
40,320
40,330
50,330
50,340
60,340
60,350
50,350
50,370
30,370
30,390
40,390
40,380
50,380
50,400
30,400
30,420
20,420
20,430
-20,430
-20,420
-10,420
-10,410
-20,410
-20,390
-10,390
-10,360
10,360
10,350
30,350
30,320
20,320
20,330
-10,330
-10,310
0,310
0,300
-10,300
-10,280
-20,280
-20,270
-10,270
-10,250
-20,250
-20,240
-40,240
-40,250
-30,250
-30,270
-40,270
-40,260
-60,260
-60,300
-70,300
-70,270
-80,270
-80,260
-90,260
-90,280
-100,280
-100,290
-120,290
-120,280
-110,280
-110,260
-100,260
-100,250
-90,250
-90,240
-100,240
-100,230
-110,230
-110,250
-120,250
-120,260
-130,260
-130,270
-160,270
-160,280
-180,280
-180,270
-190,270
-190,280
-200,280
-200,270
-210,270
-210,250
-220,250
-220,270
-240,270
-240,260
-230,260
-230,250
-240,250
-240,200
-230,200
-230,220
-220,220
-220,210
-210,210
-210,200
-220,200
-220,190
-260,190
-260,170
-250,170
-250,180
-240,180
-240,170
-230,170
-230,180
-220,180
-220,140
-210,140
-210,120
-230,120
-230,140
-240,140
-240,120
-250,120
-250,110
-220,110
-220,100
-240,100
-240,90
-250,90
-250,80
-240,80
-240,60
-230,60
-230,50
-270,50
-270,60
-280,60
-280,30
-290,30
-290,50
-300,50
-300,20
-290,20
-290,0
-300,0
-300,-20
-310,-20
-310,-30
-290,-30
-290,-20
-280,-20
-280,10
-270,10
-270,-20
-260,-20
-260,-10
-250,-10
-250,0
-240,0
-240,10
-250,10
-250,20
-210,20
-210,60
-220,60
-220,70
-230,70
-230,90
-200,90
-200,80
-210,80
-210,70
-200,70
-200,60
-180,60
-180,50
-200,50
-200,30
-180,30
-180,20
-200,20
-200,10
-230,10
-230,-20
-250,-20
-250,-30
-220,-30
-220,-20
-210,-20
-210,0
-200,0
-200,-30
-210,-30
-210,-70
-230,-70
-230,-80
-240,-80
-240,-50
-250,-50
-250,-40
-260,-40
-260,-50
-270,-50
-270,-60
-290,-60
-290,-80
-340,-80
-340,-90
-290,-90
-290,-100
-280,-100
-280,-70
-260,-70
-260,-60
-250,-60
-250,-80
-260,-80
-260,-90
-250,-90
-250,-110
-300,-110
-300,-120
-310,-120
-310,-130
-320,-130
-320,-120
-350,-120
-350,-140
-360,-140
-360,-150
-350,-150
-350,-160
-330,-160
-330,-190
-300,-190
-300,-210
-290,-210
-290,-200
-270,-200
-270,-190
-280,-190
-280,-180
-270,-180
-270,-170
-260,-170
-260,-140
-250,-140
-250,-130
-240,-130
-240,-120
-230,-120
-230,-110
-240,-110
-240,-100
-230,-100
-230,-90
-220,-90
-220,-100
-210,-100
-210,-110
-220,-110
-220,-120
-190,-120
-190,-130
-210,-130
-210,-140
-180,-140
-180,-100
-200,-100
-200,-90
-210,-90
-210,-80
-190,-80
-190,-90
-180,-90
-180,-80
-170,-80
-170,-90
-160,-90
-160,-80
-150,-80
-150,-60
-160,-60
-160,-70
-190,-70
-190,-60
-200,-60
-200,-50
-180,-50
-180,-60
-170,-60
-170,-30
-180,-30
-180,-20
-160,-20
-160,0
-170,0
-170,-10
-180,-10
-180,0
-190,0
-190,10
-170,10
-170,20
-150,20
-150,30
-140,30
-140,20
-120,20
-120,30
-130,30
-130,40
-110,40
-110,0
-120,0
-120,-10
-130,-10
-130,0
-140,0
-140,-20
-150,-20
-150,-30
-160,-30
-160,-50
-150,-50
-150,-40
-120,-40
-120,-50
-110,-50
-110,-60
-90,-60
-90,-50
-100,-50
-100,-40
-80,-40
-80,-60
-70,-60
-70,-50
-60,-50
-60,-30
-50,-30
-50,-40
-40,-40
-40,-50
-30,-50
-30,-40
-20,-40
-20,-30
-40,-30
-40,-20
0,-20
0,0
